Consulate: ADD
+---------------+-------------+-------------+-----------+--------------+----------+--------------+
| Case Number   | Consulate   | City        | Country   | PrevStatus   | Status   | statusDate   |
| 2023AF41452   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF41804   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF41829   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF41886   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF41939   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF41985   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF42082   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF42133   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF42280   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF42490   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF42692   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF42885   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF43087   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF43632   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF43638   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF44007   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF44068   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF44187   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF44294   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF44503   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF44546   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF44751   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF44757   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF44793   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF45267   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF45445   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF45470   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF45635   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF45787   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF45970   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF45976   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF46123   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF46209   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF46210   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF46284   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF46566   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF46591   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF46783   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF46917   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF46920   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF46994   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF47053   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF47087   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF47284   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AF48354   | CRO         | Cairo  | Egypt     | AP           | Issued      | 16-Jul-2023  |
| 2023AS8357    | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AS10376   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
| 2023AS15802   | CRO         | Cairo  | Egypt     | Refused221g  | AP          | 16-Jul-2023  |
| 2023AS17691   | CRO         | Cairo  | Egypt     | InTransit    | Ready       | 17-Jul-2023  |
+---------------+-------------+--------+-----------+--------------+-------------+--------------+
Consulate: DJI
+---------------+-------------+----------+-----------+--------------+-------------+--------------+
| Case Number   | Consulate   | City     | Country   | PrevStatus   | Status      | statusDate   |
|---------------+-------------+----------+-----------+--------------+-------------+--------------|
| 2023AF7414    | DJI         | Djibouti | Djibouti  | Refused221g  | Issued      | 16-Jul-2023  |
